Date,SL_in,SL_TS,SL_VS,SL_VS%,M1_in,M1_temp,M1_pH,M1_TS,M1_VS,M1_VS%,M1_VFA,M1_Alk,M1_OLR,M1_HRT,M1_eff,BP,CH4,CO2,H2S
2020-01-01,432,,,,432,,,,,,,,,25.1,274,5524,,,
2020-01-02,439,,,,439,,,,,,,,,24.7,261,5593,,,
2020-01-03,445,,,,445,,,,,,,,,24.4,277,5632,66.0,34.0,30.0
2020-01-04,440,,,,440,,,,,,,,,24.7,247,5630,,,
2020-01-05,433,,,,433,,,,,,,,,25.1,304,5699,,,
2020-01-06,439,,,,439,30.1,7.3,29125.0,16675.0,57.3,110.0,2525.0,,24.7,201,5945,,,
2020-01-07,434,34656.0,24626.0,71.3,434,31.0,7.3,52180.0,19330.0,37.0,93.0,2395.0,0.98,25.0,295,7126,,,
2020-01-08,458,,,,458,,,,,,,,,23.7,343,6146,,,
2020-01-09,475,,,,475,,,,,,,,,22.9,316,6010,,,
2020-01-10,481,,,,481,,,,,,,,,22.6,215,6220,66.0,34.0,20.0
2020-01-11,497,,,,497,,,,,,,,,21.8,244,6156,,,
2020-01-12,505,,,,505,,,,,,,,,21.5,330,5965,,,
2020-01-13,495,,,,495,32.4,7.5,26875.0,15635.0,58.2,123.0,2735.0,,21.9,367,5878,,,
2020-01-14,511,34099.0,23771.0,70.0,511,29.4,7.4,48035.0,17305.0,36.0,108.0,2470.0,1.12,21.2,373,7386,,,
2020-01-15,489,,,,489,,,,,,,,,22.2,381,6156,,,
2020-01-16,497,,,,497,,,,,,,,,21.8,369,6403,,,
2020-01-17,505,,,,505,,,,,,,,,21.5,349,6346,66.0,34.0,20.0
2020-01-18,507,,,,507,,,,,,,,,21.4,360,6102,,,
2020-01-19,488,,,,488,,,,,,,,,22.2,355,6198,,,
2020-01-20,490,,,,490,34.9,7.4,27355.0,15875.0,58.0,135.0,2910.0,,22.2,371,6042,,,
2020-01-21,430,35059.0,24436.0,70.0,430,28.3,7.4,60320.0,21170.0,35.1,108.0,2640.0,0.97,25.3,370,7526,,,
2020-01-22,413,,,,413,,,,,,,,,26.3,292,6280,,,
2020-01-23,420,,,,420,,,,,,,,,25.9,345,6174,66.0,34.0,20.0
2020-01-24,407,,,,407,,,,,,,,,26.7,359,5889,,,
2020-01-25,421,,,,421,,,,,,,,,25.8,316,6114,,,
2020-01-26,446,,,,446,,,,,,,,,24.3,292,6213,,,
2020-01-27,415,,,,415,,,,,,,,,26.2,347,6152,,,
2020-01-28,422,34242.0,24586.0,72.0,422,36.3,7.6,24835.0,14365.0,57.8,120.0,2760.0,0.96,25.7,328,6705,,,
2020-01-29,442,,,,442,,,,,,,,,24.6,284,5951,,,
2020-01-30,415,,,,415,,,,,,,,,26.2,340,5984,,,
2020-01-31,394,,,,394,,,,,,,,,27.6,199,6045,66.0,34.0,20.0
2020-02-01,402,,,,402,,,,,,,,,27.0,327,5851,,,
2020-02-02,401,,,,401,,,,,,,,,27.1,401,5838,,,
2020-02-03,408,,,,408,31.3,7.6,28730.0,16115.0,56.1,278.0,3035.0,,26.6,356,5720,,,
2020-02-04,404,31927.0,22932.0,71.9,404,33.1,7.6,42005.0,17455.0,41.6,150.0,2855.0,0.85,26.9,375,5904,,,
2020-02-05,428,,,,428,,,,,,,,,25.4,340,5650,,,
2020-02-06,397,,,,397,,,,,,,,,27.3,341,5886,,,
2020-02-07,383,,,,383,,,,,,,,,28.3,345,5915,66.0,34.0,30.0
2020-02-08,399,,,,399,,,,,,,,,27.2,330,5718,,,
2020-02-09,396,,,,396,,,,,,,,,27.4,292,5833,,,
2020-02-10,423,,,,423,32.1,7.6,27295.0,15715.0,57.6,274.0,3035.0,,25.7,343,5758,,,
2020-02-11,399,36967.0,26723.0,72.6,399,33.1,7.5,50775.0,18725.0,36.9,285.0,2860.0,0.98,27.2,308,6232,,,
2020-02-12,409,,,,409,,,,,,,,,26.5,342,6054,,,
2020-02-13,413,,,,413,,,,,,,,,26.3,311,5628,,,
2020-02-14,468,,,,468,,,,,,,,,23.2,283,6107,66.0,34.0,20.0
2020-02-15,494,,,,494,,,,,,,,,22.0,330,6246,,,
2020-02-16,453,,,,453,,,,,,,,,24.0,351,6137,,,
2020-02-17,462,,,,462,35.0,7.6,25110.0,15020.0,59.8,175.0,3120.0,,23.5,329,6500,,,
2020-02-18,444,36931.0,27270.0,73.5,444,27.5,7.7,41160.0,16515.0,40.1,160.0,2815.0,1.12,24.5,348,6430,,,
2020-02-19,478,,,,478,,,,,,,,,22.7,232,5340,,,
2020-02-20,471,,,,471,,,,,,,,,23.1,178,5946,,,
2020-02-21,464,,,,464,,,,,,,,,23.4,275,5382,66.0,34.0,20.0
2020-02-22,475,,,,475,,,,,,,,,22.9,212,4764,,,
2020-02-23,476,,,,476,,,,,,,,,22.8,325,4811,,,
2020-02-24,485,,,,485,31.3,7.6,29650.0,16160.0,54.5,158.0,3305.0,,22.4,288,4847,,,
2020-02-25,492,36101.0,25908.0,72.0,492,29.3,7.6,47810.0,21275.0,44.5,278.0,3135.0,1.17,22.1,300,4829,,,
2020-02-26,501,,,,501,,,,,,,,,21.7,320,4490,,,
2020-02-27,513,,,,513,,,,,,,,,21.2,271,5797,,,
2020-02-28,494,,,,494,,,,,,,,,22.0,314,5359,66.0,34.0,30.0
2020-02-29,503,,,,503,,,,,,,,,21.6,299,5384,,,
2020-03-01,506,,,,506,,,,,,,,,21.5,290,5795,,,
2020-03-02,501,,,,501,29.2,7.2,31670.0,17240.0,54.4,285.0,3180.0,,21.7,307,5104,,,
2020-03-03,555,34022.0,24474.0,72.1,555,30.5,7.3,31580.0,16435.0,52.0,155.0,3175.0,1.25,19.6,277,5819,,,
2020-03-04,571,,,,571,,,,,,,,,19.0,298,5814,,,
2020-03-05,558,,,,558,,,,,,,,,19.5,263,5959,,,
2020-03-06,493,,,,493,,,,,,,,,22.0,344,6176,66.0,34.0,20.0
2020-03-07,443,,,,443,,,,,,,,,24.5,339,5696,,,
2020-03-08,448,,,,448,,,,,,,,,24.2,336,5878,,,
2020-03-09,510,,,,510,31.1,7.3,33090.0,18050.0,54.5,274.0,3210.0,,21.3,342,5962,,,
2020-03-10,522,30067.0,21567.0,71.9,522,33.8,7.4,23305.0,13800.0,59.2,150.0,2925.0,1.04,20.8,379,5442,,,
2020-03-11,560,,,,560,,,,,,,,,19.4,298,5509,,,
2020-03-12,500,,,,500,,,,,,,,,21.7,366,5663,,,
2020-03-13,442,,,,442,,,,,,,,,24.6,379,5356,64.0,36.0,20.0
2020-03-14,427,,,,427,,,,,,,,,25.4,382,5248,,,
2020-03-15,434,,,,434,,,,,,,,,25.0,371,5104,,,
2020-03-16,451,,,,451,31.4,7.3,29135.0,15780.0,54.2,173.0,3085.0,,24.1,392,5017,,,
2020-03-17,450,32298.0,22957.0,71.3,450,28.0,7.3,32215.0,17150.0,53.2,289.0,2965.0,0.95,24.1,342,5253,,,
2020-03-18,430,,,,430,,,,,,,,,25.3,321,5211,,,
2020-03-19,464,,,,464,,,,,,,,,23.4,287,4602,,,
2020-03-20,469,,,,469,,,,,,,,,23.2,322,4912,66.0,34.0,30.0
2020-03-21,478,,,,478,,,,,,,,,22.7,365,5008,,,
2020-03-22,488,,,,488,,,,,,,,,22.2,417,4509,,,
2020-03-23,481,,,,481,31.3,7.4,27835.0,15515.0,55.7,371.0,3135.0,,22.6,349,4523,,,
2020-03-24,430,13336.0,9374.0,70.1,430,29.3,7.2,44240.0,20245.0,45.8,304.0,2910.0,0.37,25.3,361,4253,,,
2020-03-25,448,,,,448,,,,,,,,,24.2,260,3408,,,
2020-03-26,463,,,,463,,,,,,,,,23.5,401,4604,,,
