Date,SL_in,SL_TS,SL_VS,M1_temp,M1_pH,M1_TS,M1_VS,M1_VS%,M1_VFA,M1_Alk,M1_efficiency,M1_OLR,M1_HRT,M1_vol,M1_eff,BP,CH4,CO2,H2S
2020-01-01,308,,,,,,,,,,,,26.2,8076,174,1369,,,
2020-01-02,281,,,,,,,,,,,,28.7,8076,154,1301,73.0,27.0,56.0
2020-01-03,268,,,,,,,,,,,,30.1,8076,140,1305,,,
2020-01-04,277,,,,,,,,,,,,29.2,8076,128,1159,,,
2020-01-05,287,,,,,,,,,,,,28.1,8076,132,1155,,,
2020-01-06,305,,,,,,,,,,,,26.5,8076,125,1475,,,
2020-01-07,372,,,,,,,,,,,,21.7,8076,124,1734,,,
2020-01-08,384,,,,,,,,,,,,21.0,8076,131,1809,,,
2020-01-09,346,29239.0,18117.0,22.0,7.08,37870.0,20820.0,55.0,80.0,2170.0,25.1,0.78,23.3,8076,129,2002,,,
2020-01-10,377,,,,,,,,,,,,21.4,8076,126,2153,74.0,26.0,31.0
2020-01-11,361,,,,,,,,,,,,22.4,8076,129,2153,,,
2020-01-12,360,,,,,,,,,,,,22.4,8076,128,2086,,,
2020-01-13,361,,,,,,,,,,,,22.4,8076,128,2200,,,
2020-01-14,345,,,,,,,,,,,,23.4,8076,127,2128,,,
2020-01-15,320,,,,,,,,,,,,25.2,8076,129,1929,,,
2020-01-16,315,33745.0,21531.0,25.0,6.96,43535.0,23370.0,53.7,75.0,1915.0,34.2,0.84,25.6,8076,124,1590,,,
2020-01-17,320,,,,,,,,,,,,25.2,8076,127,1716,74.0,26.0,29.0
2020-01-18,344,,,,,,,,,,,,23.5,8076,123,1699,,,
2020-01-19,362,,,,,,,,,,,,22.3,8076,128,1643,,,
2020-01-20,387,,,,,,,,,,,,20.9,8076,131,1527,,,
2020-01-21,347,,,,,,,,,,,,23.3,8076,157,1598,,,
2020-01-22,289,,,,,,,,,,,,27.9,8076,174,1520,74.0,26.0,30.0
2020-01-23,290,32815.0,21091.0,22.0,6.9,33955.0,20045.0,59.0,113.0,2305.0,20.1,0.76,27.8,8076,131,1507,,,
2020-01-24,271,,,,,,,,,,,,29.8,8076,130,1513,,,
2020-01-25,277,,,,,,,,,,,,29.2,8076,77,1517,,,
2020-01-26,239,,,,,,,,,,,,33.8,8076,76,1509,,,
2020-01-27,238,,,,,,,,,,,,33.9,8076,119,1486,,,
2020-01-28,264,,,,,,,,,,,,30.6,8076,119,1580,,,
2020-01-29,275,,,,,,,,,,,,29.4,8076,116,1810,,,
2020-01-30,284,31912.0,20734.0,22.0,6.88,32555.0,19335.0,59.4,113.0,2320.0,21.2,0.73,28.4,8076,116,1777,73.0,27.0,27.0
2020-01-31,236,,,,,,,,,,,,34.2,8076,153,1651,,,
2020-02-01,213,,,,,,,,,,,,37.9,8076,176,1556,,,
2020-02-02,215,,,,,,,,,,,,37.6,8076,200,1630,,,
2020-02-03,200,,,,,,,,,,,,40.4,8076,186,1585,,,
2020-02-04,182,,,,,,,,,,,,44.4,8076,159,1649,,,
2020-02-05,242,,,,,,,,,,,,33.4,8076,232,1456,,,
2020-02-06,279,45716.0,28226.0,23.0,6.91,32415.0,18820.0,58.1,133.0,2600.0,13.9,0.98,28.9,8076,279,1681,73.0,27.0,19.0
2020-02-07,286,,,,,,,,,,,,28.2,8076,265,1823,,,
2020-02-08,345,,,,,,,,,,,,23.4,8076,304,1802,,,
2020-02-09,331,,,,,,,,,,,,24.4,8076,277,1837,,,
2020-02-10,288,,,,,,,,,,,,28.0,8076,232,1653,,,
2020-02-11,231,,,,,,,,,,,,35.0,8076,227,1556,,,
2020-02-12,281,,,,,,,,,,,,28.7,8076,281,1569,,,
2020-02-13,305,39850.0,25662.0,29.0,6.81,33110.0,19615.0,59.2,143.0,2600.0,19.8,0.97,26.5,8076,305,1498,73.0,26.0,17.0
2020-02-14,303,,,,,,,,,,,,26.7,8076,303,1646,,,
