Date,PS_TS,PS_VS,M1_in,M1_temp,M1_pH,M1_TS,M1_VS,M1_VFA,M1_Alk,M1_vol,M1_eff,BP,CH4,CO2,H2S
2020-01-06,35190.0,26905.0,1052,38.5,7.2,24380.0,61.7,799.0,3445.0,27468,1108,19812,64.4,35.6,2.0
2020-01-07,36065.0,26915.0,1148,36.4,7.4,31485.0,48.7,128.0,3415.0,27468,1190,20619,,,
2020-01-08,37435.0,27795.0,1058,32.0,7.3,23085.0,61.6,158.0,3180.0,27468,1065,20178,,,
2020-01-09,37755.0,27895.0,1121,,,,,,,27468,1078,20418,,,
2020-01-10,41205.0,30125.0,1036,,,,,,,27468,1170,20687,,,
2020-01-11,,,948,,,,,,,27468,1126,19724,,,
2020-01-12,,,1209,,,,,,,27468,1192,20963,,,
2020-01-13,33515.0,24840.0,1121,35.8,7.4,25095.0,59.3,461.0,3255.0,27468,943,19239,64.7,35.3,3.0
2020-01-14,43105.0,32130.0,882,36.6,7.4,23575.0,61.0,133.0,3430.0,27468,1117,19319,,,
2020-01-15,49115.0,37085.0,855,35.2,7.5,24800.0,57.6,145.0,3345.0,27468,1125,19493,,,
2020-01-16,45540.0,34175.0,903,,,,,,,27468,1091,20414,,,
2020-01-17,45605.0,32740.0,966,,,,,,,27468,1093,20178,63.2,36.8,5.0
2020-01-18,,,1063,,,,,,,27468,1098,20469,,,
2020-01-19,,,1118,,,,,,,27468,1108,19807,,,
2020-01-20,36485.0,27205.0,1115,37.0,7.4,23475.0,62.6,465.0,3760.0,27468,1097,21020,,,
2020-01-21,39040.0,29605.0,1112,35.9,7.4,21560.0,61.6,113.0,3820.0,27468,1054,20528,,,
2020-01-22,37905.0,28995.0,1055,34.2,7.5,33125.0,50.2,338.0,3425.0,27468,1000,20599,,,
2020-01-23,42715.0,32825.0,988,,,,,,,27468,1025,21081,,,
2020-01-24,,,955,,,,,,,27468,957,21054,,,
2020-01-25,,,603,,,,,,,27468,551,19285,,,
2020-01-26,,,572,,,,,,,27468,489,18030,,,
2020-01-27,,,770,,,,,,,27468,1042,18311,,,
2020-01-28,41640.0,30795.0,858,34.9,7.6,25715.0,59.5,281.0,3570.0,27468,1016,18975,,,
2020-01-29,38495.0,29910.0,948,35.0,7.6,23290.0,60.9,289.0,3410.0,27468,795,21391,,,
2020-01-30,39570.0,30015.0,912,,,,,,,27468,1028,21116,,,
2020-01-31,38660.0,29650.0,927,,,,,,,27468,888,21132,63.0,37.0,6.0
2020-02-01,,,946,,,,,,,27468,1106,20659,,,
2020-02-02,,,921,,,,,,,27468,1102,20244,,,
2020-02-03,32760.0,24930.0,888,35.8,7.5,24355.0,62.0,379.0,3510.0,27468,1090,19789,,,
2020-02-04,36715.0,28675.0,912,33.8,7.6,23900.0,61.3,315.0,3190.0,27468,976,20045,,,
2020-02-05,36690.0,28495.0,828,34.7,7.7,22465.0,61.2,304.0,3370.0,27468,963,18380,,,
2020-02-06,34900.0,27220.0,870,,,,,,,27468,1017,19777,,,
2020-02-07,36870.0,28225.0,870,,,,,,,27468,991,19757,63.2,36.8,6.0
2020-02-08,,,879,,,,,,,27468,974,20001,,,
2020-02-09,,,870,,,,,,,27468,994,20221,,,
2020-02-10,32190.0,24315.0,858,35.8,7.5,23300.0,63.5,293.0,3545.0,27468,1284,18143,,,
