Date,FW_temp,FW_pH,FW_BOD,FW_COD,FW_SS,FW_TN,FW_TP,FW_TS,FW_VS,FW_VS%,MCA_in,MCA_eff,MCA_temp,MCA_pH,MCA_TS,MCA_VS,MCA_VS%,MCA_VFA,MCA_Alk,MCA_VFA/TA,MCA_OLR,MCA_efficiency,MCA_HRT,MCB_in,MCB_eff,MCB_temp,MCB_pH,MCB_TS,MCB_VS,MCB_VS%,MCB_VFA,MCB_Alk,MCB_VFA/TA,MCB_OLR,MCB_efficiency,MCB_HRT,MHC_in,MHC_eff,MHC_temp,MHC_pH,MHC_TS,MHC_VS,MHC_VS%,MHC_VFA,MHC_Alk,MHC_VFA/TA,MHC_OLR,MHC_efficiency,MHC_HRT,MHA_in,MHA_eff,MHA_temp,MHA_pH,MHA_TS,MHA_VS,MHA_VS%,MHA_VFA,MHA_Alk,MHA_VFA/TA,MHA_OLR,MHA_efficiency,MHA_HRT,MHB_in,MHB_eff,MHB_temp,MHB_pH,MHB_TS,MHB_VS,MHB_VS%,MHB_VFA,MHB_Alk,MHB_VFA/TA,MHB_OLR,MHB_efficiency,MHB_HRT,BP,CH4,CO2,deH2S,NH3
2022-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13157.0,,,,
2022-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12939.0,,,,
2022-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10097.0,,,,
2022-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10504.0,,,,
2022-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9148.0,,,,
2022-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79155.0,61660.0,77.9,6060.0,6685.0,0.91,,,,,,,,104375.0,77860.0,74.6,14336.0,,,,,,,,,,48965.0,31335.0,64.0,5254.0,9685.0,0.54,,,,9203.0,,,,
2022-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9356.0,,,,
2022-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9115.0,,,,
2022-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9617.0,,,,
2022-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9306.0,,,,
2022-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9292.0,,,,
2022-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9577.0,,,,
