Date,FW_in_VS,PS_in_VS,HRT,eff,temp,TS,VS,vol,swell,H2S,MY
2015-01-05,19.089146276,15.9162976,21.723728981196583,703,37.3,0.0381022825,0.0234870685,12708.381454,-38.75287541,89.0,0.46994333385382
2015-01-06,20.15589269,20.1389888,19.191720484304934,494,37.900000000000006,0.037957619,0.023429816,12839.261004,44.120449332,90.0,0.4394382945236948
2015-01-07,22.85083099,17.60537408,19.268339679941004,452,38.05,0.037767973,0.023279308,13063.934303,1.3267009300000012,83.0,0.45318664882870097
2015-01-08,24.08601104,25.364820260000002,16.721340475776397,448,37.7,0.037549663999999996,0.0230674155,13460.679082999999,-39.7447797,88.5,0.396753522401706
2015-01-09,21.67179548,14.773658605,22.63678625123967,386,37.45,0.0373190125,0.022826012,13695.255682,-15.57659981,104.0,0.5039961350087818
2015-01-10,22.45781915,7.690397631,26.101811700389106,819,37.0,0.037092338,0.022586968,13416.331214,-26.07553130000001,103.6170747,0.5210046124658388
2015-01-11,24.59131197,19.428372964,18.44635671349862,761,37.8,0.036885961999999994,0.0223821565,13392.054973999999,-10.723759272000002,102.78970495,0.4326144094462059
2015-01-12,27.083532599999998,20.03287344,19.028667580141843,766,38.0,0.0367162035,0.02224345,13415.210643999999,-84.15567055,102.0,0.4499759591595539
2015-01-13,27.1544319,18.420320160000003,19.891913613235293,595,37.4,0.036589353500000005,0.022143764,13526.501257,-26.290613258999997,102.0,0.4327837806782355
2015-01-14,26.729036100000002,17.92414992,20.310061947447448,765,37.3,0.036492771,0.0220380145,13526.501257,-99.0,99.0,0.43840137165648096
2015-01-15,28.7142165,21.02521392,18.265139471774194,703,37.150000000000006,0.0364143815,0.021931073500000002,13589.263767,-21.762510397,116.0,0.4056002416925143
2015-01-16,23.1131718,21.273299039999998,20.2515026980568,743,37.4,0.0363421085,0.021827814,13548.255304999999,-32.991537,113.0,0.44218978505298084
2015-01-17,23.254970399999998,19.90883088,21.038469318952234,610,38.0,0.036263876,0.021733106500000002,13653.966588,-66.71128422000001,106.19805195,0.44105164301300276
